User_ID,UTC_Time,Account,Operation,Coin,Change,Change_JPY,Remark
13323059,2021-01-03 17:04:38,Spot,Transaction Related,BTC,-0.00011232,-372.96896761792294,
13323059,2021-01-03 17:03:10,Spot,Deposit,BTC,0.02000000,66411.85320831962,
