User_ID,UTC_Time,Account,Operation,Coin,Change,Remark
13323059,2021-01-03 17:03:10,Spot,Deposit,BTC,0.02000000,
13323059,2021-01-03 17:04:38,Spot,Transaction Related,BTC,-0.00011232,
